90641857,Kxcjkuzfv,Kxcjkuzfv@uic.edu.hk,DLJF0718,1001
90641858,Kxcjkuzfv,Kxcjkuzfv@uic.edu.hk,MAQI9125,1002
90641859,Kxcjkuzfv,Kxcjkuzfv@uic.edu.hk,CFIG7894,1001
90641860,Kxcjkuzfv,Kxcjkuzfv@uic.edu.hk,ACHN0763,1003
4586793,Noxvcineu,Noxvcineu@uic.edu.hk,XQJL9360,1001
12645307,Bwpndgvjx,Bwpndgvjx@uic.edu.hk,NGCW3947,1003
36092741,Upmgjesuv,Upmgjesuv@uic.edu.hk,CFIG7894,1002
9483562,Nrnzxbocl,Nrnzxbocl@uic.edu.hk,DLJF0718,1001
4613928,Szkogycdn,Szkogycdn@uic.edu.hk,QSFM4231,1002
85970312,Alyjurigb,Alyjurigb@uic.edu.hk,CFEI4961,1001
15394607,Tqylinkgc,Tqylinkgc@uic.edu.hk,FHLK4027,1003
63872450,Pbdgpkwjt,Pbdgpkwjt@uic.edu.hk,OQBN2861,1001
59430261,Pwqmgbsul,Pwqmgbsul@uic.edu.hk,HDYX4053,1002
63850297,Qlpesrjzq,Qlpesrjzq@uic.edu.hk,MAQI9125,1003
6751492,Nvlmeurgf,Nvlmeurgf@uic.edu.hk,QGXR4067,1002
35904217,Dihtbqvok,Dihtbqvok@uic.edu.hk,PFME8264,1001
59031427,Nsjglyzim,Nsjglyzim@uic.edu.hk,HDCL4853,1001
96834105,Sxnhlwoyt,Sxnhlwoyt@uic.edu.hk,ECAI1829,1003
29081573,Xobwlxaze,Xobwlxaze@uic.edu.hk,DJRT6195,1001
29608153,Eybgktqir,Eybgktqir@uic.edu.hk,XNLV9301,1002
35940862,Tbrpgyvzc,Tbrpgyvzc@uic.edu.hk,ACHN0763,1001
86915307,Yrkjmnzbs,Yrkjmnzbs@uic.edu.hk,DXHJ6178,1003
3921568,Ebivkwejg,Ebivkwejg@uic.edu.hk,YOCA9173,1002
